site_id,latitude,longitude,week_start,visitor_count
node,30.264819,-97.7442485,2025-06-01,1
node,30.338992,-97.717491,2025-06-01,1
node,30.317485,-97.722135,2025-06-01,1
node,30.318904,-97.738972,2025-06-01,1
node,30.2681344,-97.7425331,2025-06-01,1
node,30.270247,-97.742287,2025-06-01,1
node,30.217993,-97.79637,2025-06-01,1
node,30.217862,-97.796455,2025-06-01,1
node,30.217802,-97.796492,2025-06-01,1
node,30.2178088,-97.796552,2025-06-01,1
node,30.251009,-97.7541798,2025-06-01,1
node,30.2896999,-97.7284176,2025-06-01,1
node,30.3593671,-97.7346731,2025-06-01,1
node,30.4130776,-97.6877881,2025-06-01,1
node,30.4025845,-97.7203236,2025-06-01,1
node,30.4007259,-97.7268482,2025-06-01,1
node,30.3016121,-97.6999083,2025-06-01,1
node,30.1857853,-97.8736475,2025-06-01,1
node,30.2674422,-97.742689,2025-06-01,1
node,30.2318432,-97.7356141,2025-06-01,1
node,30.2020949,-97.6700843,2025-06-01,1
node,30.202292,-97.6700253,2025-06-01,1
node,30.4053959,-97.8512475,2025-06-01,1
node,30.3386884,-97.7187526,2025-06-01,1
node,30.4705954,-97.8069306,2025-06-01,1
node,30.4378447,-97.6980347,2025-06-01,1
node,30.3886025,-97.6502811,2025-06-01,1
node,30.2885673,-97.7420585,2025-06-01,1
node,30.312715,-97.7385289,2025-06-01,1
node,30.2835675,-97.7416851,2025-06-01,1
node,30.2854421,-97.7420095,2025-06-01,1
node,30.2614363,-97.7211444,2025-06-01,1
node,30.266883,-97.719949,2025-06-01,1
node,30.2053557,-97.8063095,2025-06-01,1
node,30.3572945,-97.760577,2025-06-01,1
node,30.2712775,-97.7585251,2025-06-01,1
node,30.2175689,-97.7966585,2025-06-01,1
node,30.260507,-97.7416741,2025-06-01,1
node,30.2611369,-97.6978391,2025-06-01,1
node,30.3774049,-97.6872721,2025-06-01,1
node,30.2684502,-97.7275658,2025-06-01,1
node,30.3187661,-97.7316951,2025-06-01,1
node,30.2892778,-97.7393939,2025-06-01,1
node,30.3621042,-97.7177062,2025-06-01,1
node,30.4252916,-97.7167166,2025-06-01,1
node,30.4249138,-97.7158878,2025-06-01,1
node,30.3880837,-97.709846,2025-06-01,1
