block_group_id,population,median_income
060750253002,629.0,180313.0
060750253003,714.0,170688.0
060750253004,2126.0,188672.0
060750254011,1405.0,118333.0
060750254012,1544.0,250001.0
060750254013,757.0,153650.0
060750254021,1350.0,169628.0
060750254022,556.0,188100.0
060750254023,1257.0,169914.0
060750254031,2744.0,171583.0
060750254032,1942.0,81991.0
060750255011,2226.0,112143.0
060750255012,1124.0,169250.0
060750255013,723.0,-666666666.0
060750255021,715.0,173854.0
060750255022,1473.0,102477.0
060750255023,1263.0,238106.0
060750256001,1726.0,-666666666.0
060750256002,905.0,-666666666.0
060750256003,984.0,140543.0
060750256004,1675.0,108899.0
060750257011,999.0,145729.0
060750257012,2017.0,124099.0
060750257013,2031.0,131250.0
060750257021,872.0,85417.0
060750257022,2583.0,122622.0
060750257023,1146.0,99107.0
060750258001,1165.0,109583.0
060750258002,611.0,38063.0
060750259001,1684.0,154474.0
060750259002,2450.0,150858.0
060750260011,1814.0,176065.0
060750260012,2059.0,91432.0
060750260013,1158.0,157440.0
060750260014,979.0,98636.0
060750260021,1708.0,119615.0
060750260022,2023.0,111250.0
060750260031,2819.0,104583.0
060750260032,2054.0,95250.0
060750260041,2692.0,125000.0
060750260042,1232.0,156705.0
060750261001,1124.0,-666666666.0
060750261002,2415.0,91806.0
060750261003,1427.0,131656.0
060750261004,1635.0,163281.0
060750262011,928.0,103981.0
060750262012,1028.0,154211.0
060750262013,1972.0,149464.0
060750262021,2260.0,143836.0
060750262022,1404.0,149861.0
060750263011,1197.0,113173.0
060750263012,2390.0,88125.0
060750263013,1368.0,129688.0
060750263021,1636.0,201500.0
060750263022,955.0,128603.0
060750263023,2116.0,85455.0
060750263031,2136.0,128894.0
060750263032,1143.0,82132.0
060750263033,1146.0,-666666666.0
060750264011,1943.0,93750.0
060750264012,1527.0,78920.0
060750264021,1065.0,122639.0
060750264022,1788.0,108977.0
060750264023,1801.0,209297.0
060750264031,1503.0,125833.0
060750264032,1950.0,70359.0
060750264041,1471.0,68906.0
060750264042,933.0,97000.0
060750301011,1368.0,157989.0
060750301012,1178.0,131491.0
060750301013,748.0,127679.0
060750301014,1294.0,180246.0
060750301021,1262.0,227315.0
060750301022,586.0,250001.0
060750301023,2088.0,126029.0
060750301024,872.0,147070.0
060750302011,2002.0,96464.0
060750302012,804.0,81500.0
060750302013,1314.0,182250.0
060750302021,1401.0,181452.0
060750302022,1328.0,132188.0
060750302023,1288.0,138839.0
060750303011,978.0,186125.0
060750303012,2258.0,197202.0
060750303013,1962.0,202887.0
060750303014,1311.0,146042.0
060750303021,1014.0,135455.0
060750303022,1159.0,250001.0
060750303023,1319.0,166979.0
060750304001,943.0,177917.0
060750304002,1024.0,250001.0
060750304003,1527.0,-666666666.0
060750304004,794.0,116818.0
060750304005,832.0,-666666666.0
060750305001,676.0,167895.0
060750305002,1527.0,197452.0
060750305003,1575.0,-666666666.0
060750306001,687.0,236667.0
060750306002,811.0,228542.0
060750306003,858.0,250001.0
060750307001,3124.0,149770.0
060750307002,1545.0,180417.0
060750307003,1931.0,202892.0
060750308001,899.0,250001.0
060750308002,1219.0,250001.0
060750308003,441.0,250001.0
060750308004,1886.0,136357.0
060750308005,1324.0,151912.0
060750309001,685.0,250001.0
060750309002,1981.0,237755.0
060750309003,1117.0,194605.0
060750309004,839.0,-666666666.0
060750309005,423.0,250001.0
060750309006,455.0,250001.0
060750309007,925.0,133601.0
060750310001,997.0,202306.0
060750310002,1801.0,164444.0
060750310003,1538.0,178409.0
