comp_id,latitude,longitude
node,30.3583703,-97.7382125
node,30.4034704,-97.7250457
node,30.4033734,-97.7246286
node,30.314907,-97.7337668
node,30.3150694,-97.7356391
node,30.3046677,-97.7265695
node,30.3151095,-97.7357439
node,30.3046321,-97.7264672
node,30.3149067,-97.7353474
node,30.3047571,-97.7257984
node,30.3049974,-97.7264878
node,30.3149466,-97.7337437
node,30.4003346,-97.7329976
node,30.3990221,-97.7434251
node,30.3994147,-97.7431478
node,30.3996943,-97.742957
node,30.4036023,-97.7446383
node,30.3967196,-97.7443806
node,30.3963288,-97.7442369
node,30.3951929,-97.7482542
node,30.3951159,-97.7487982
node,30.39551,-97.7479542
node,30.3956622,-97.7477767
node,30.3953171,-97.7481149
node,30.3987028,-97.747598
node,30.3999241,-97.7482899
node,30.3986006,-97.7470409
node,30.3999206,-97.7481906
node,30.3986965,-97.747521
node,30.4001738,-97.7469878
node,30.3999342,-97.7484238
node,30.3997773,-97.7472175
node,30.3987193,-97.7478
node,30.4001867,-97.7480196
node,30.3999246,-97.7480738
node,30.3987134,-97.7477284
node,30.3982724,-97.7493137
node,30.3986302,-97.7471185
node,30.3984198,-97.7469657
node,30.4003577,-97.7040339
node,30.399953,-97.7042762
node,30.4003012,-97.7040606
node,30.4002431,-97.704094
node,30.4076327,-97.7133275
node,30.3916401,-97.7193937
node,30.3601181,-97.7406521
node,30.3246626,-97.7428695
node,30.3894706,-97.7325303
node,30.3881224,-97.7330163
node,30.3896744,-97.7324516
node,30.3915761,-97.7318868
node,30.3888984,-97.7328527
node,30.3898862,-97.7323667
node,30.3874434,-97.733248
node,30.3900765,-97.7323022
node,30.3896651,-97.7332785
node,30.3877521,-97.7331428
node,30.3918392,-97.7316722
node,30.3897321,-97.7332496
node,30.3890287,-97.7327109
node,30.389175,-97.7326392
node,30.389747,-97.7324148
node,30.390625,-97.7320118
node,30.3910629,-97.7318723
node,30.389299,-97.7325841
node,30.3895991,-97.7333049
node,30.4726404,-97.7974754
node,30.3179008,-97.7216835
node,30.4656894,-97.8027044
node,30.4773919,-97.7980751
node,30.3572833,-97.7151753
node,30.3788543,-97.7246786
node,30.267606,-97.7417531
node,30.257206,-97.746593
node,30.2556863,-97.744898
node,30.225758,-97.7626944
node,30.2253771,-97.7630061
node,30.2639562,-97.74232
node,30.2767871,-97.7522018
